CAT;CLASSIF;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS
T10;;upper limb fracture, level unspecified;T10 Super Frat level NE member;;
T11;;Other injuries of upper limb, level unspecified;T11 othe traum super level NE member;;
T12;;lower limb fracture, level unspecified;T12 Frat infer the level NE member;;
T13;;Other injuries of lower limb, level unspecified;T13 othe traum infer the level NE member;;
T14;;Injury of unspecified body region;T14 region of NE Traum body;;
T15;;Foreign body on the outside of the eye;T15 Foreign body on the outside of the eye;;
T16;;in your ear;T16 Foreign body in ear;;
T17;;Foreign body in respiratory tract;T17 Foreign body in Respiratory tract;;
T18;;Foreign body in the digestive tract;T18 Foreign body in digestive system;;
T19;;Foreign body in genitourinary tract;T19 Foreign body in genitourinary tract;;
T20;;Burn and corrosion of head and neck;T20 BURN and corrosion of head and neck;;
T21;;Burn and corrosion of trunk;T21 BURN and corrosion of trunk;;
T22;;Burn and corrosion of shoulder and upper limb, except wrist and hand;BURN T22 corrosion shoulder Membr sup hand grip exc;;
T23;;Burn and corrosion of wrist and hand;T23 BURN and corrosion of wrist and hand;;
T24;;Burn and corrosion of hip and lower limb, except ankle and foot;T24 BURN corrosion Wood Frame member inf exc tornoz pe;;
T25;;Burn and corrosion of ankle and foot;T25 BURN and corrosion of ankle and foot;;
T26;;Burn and corrosion limited to the eye and its annexes;BURN T26 and limited corrosion to the eye and attachments;;
T27;;Burn and corrosion of respiratory tract;T27 BURN and corrosion of Respiratory tract;;
T28;;Burn and corrosion of other internal organs;T28 BURN and corrosion of internal organs othe;;
T29;;Burns and corrosions of multiple body regions;T29 BURN and corrosion of mult regions of the body;;
T30;;Burn and corrosion of unspecified body;T30 BURN and corrosion NE part of the body;;
T31;;Burns classified according to extent of body surface;T31 BURN classif sec ext body surface ating;;
T32;;Corrosion classified according to the extent of body surface;T32 corrosion classif sec ext surface Corp. ating;;
T33;;surface frostbite;T33 Frostbite surface;;
T34;;Frostbite with tissue necrosis;T34 frostbite w / necrosis tec;;
T35;;Frostbite multiple body parts and unspecified;T35 Frostbite mult body parts and NE;;
T36;;Poisoning by systemic antibiotics;T36 Intox w / systemic antibiotics;;
T37;;Poisoning by other anti-infective substances or systemic antiparasitic;T37 Intox othe subst antiinfecc antiparasit sist;;
T38;;Poisoning by hormones and their synthetic substitutes and antagonists, not elsewhere classified;T38 Intox p / hormones your subst sint antag NCOP;;
T39;;Poisoning analgesic, antipyretic and antirheumatic non-opioid;T39 Intox analges antipiret anti-rheumatoid n-OPIAC;;
T40;;Poisoning by narcotics and psychodysleptics [hallucinogens];T40 Intox w / narcotics and psychodysleptics;;
T41;;Poisoning by anesthetics and therapeutic gases;T41 Intox w / anesthetics and therapeutic gases;;
T42;;Poisoning by antiepileptic, sedative-hypnotics;T42 Intox antiepilept sedativ-hipnot antiparkins;;
T43;;Poisoning by psychotropic drugs, not elsewhere classified;T43 Intox p / psychotropic drugs NEC;;
T44;;Poisoning by drugs primarily affecting the autonomic nervous system;T44 Intox p / q offwhite AFET autonomous nerv syst Princ;;
T45;;Poisoning by primarily systemic and haematological agents, not elsewhere classified;T45 Intox subst action ess sist subst hematol NCOP;;
T46;;Poisoning by agents primarily affecting the cardiovascular system;T46 Intox subst working on prim after circulat;;
T47;;Poisoning by acting primarily on the gastrointestinal tract;T47 Intox w / subst operating prim s / hc gastroint;;
T48;;Poisoning by agents primarily on smooth and skeletal muscles and the respiratory system;T48 Intox subst q prim at left flat after resp musc;;
T49;;Poisoning by topical agents primarily on the skin and mucous membranes and drugs used in ophthalmology, otolaryngology and dentistry;Int T49 subs use top pel muc med ut oft otor odo;;
T50;;Poisoning by diuretics and other drugs, medicaments and biological substances and unspecified;T50 Intox diuret October drog medic subst biolog NE;;
T51;;Toxic effect of alcohol;T51 effect of alcohol toxico;;
T52;;Toxic effect of organic solvents;T52 Toxic effect of organic solvents;;
T53;;Toxic effect halogenic derivatives of aliphatic and aromatic hydrocarbons;Effect T53 tox deriv Halog hidrocarb aliphatic arom;;
T54;;Toxic effect of corrosive;T54 toxic effect of corrosive;;
T55;;Toxic effect of soaps and detergents;T55 Toxic effect of soaps and detergents;;
T56;;Toxic effect of metals;Effect of toxic metals T56;;
T57;;Toxic effect of other inorganic substances;T57 toxic effect of inorganic subst othe;;
T58;;Toxic effect of carbon monoxide;T58 toxic effect of carbon monoxide;;
T59;;Toxic effect of other gases, fumes and vapors;T59 toxic effect of gas fumes vapors othe;;
T60;;Toxic effect of pesticides;T60 Toxic effect of pesticides;;
T61;;Toxic effect of noxious substances consumed as a result of the sea;Subst harmful effect tox T61 as a result March cf.;;
T62;;Toxic effect of other harmful substances ingested as food;Effect T62 tox othe subst noc inger as aliment;;
T63;;Toxic effect of contact with venomous animals;T63 effect Contact c toxic / poisonous animals;;
T64;;Toxic effect of aflatoxin and other food contaminants mycotoxins;Effect T64 tox aflatox othe micotox sup count;;
T65;;Toxic effect of other and unspecified substances;Toxic effect of T65 and NS subst othe;;
T66;;Unspecified effects of radiation;T66 Effects of radiation NE;;
T67;;Effects of heat and light;T67 Effects of heat and light;;
T68;;Hypothermia;T68 Hypothermia;;
T69;;Other effects of reduced temperature;T69 othe effects of reduced temperature;;
T70;;Effects of atmospheric pressure and water pressure;T70 Effects atmospheric pressure and water pressure;;
T71;;asphyxia;T71 Asphyxiation;;
T73;;Effects of other deprivation;T73 Effects of Other Options privations;;
T74;;Syndromes of abuse;T74 Sindr of abuse;;
T75;;Effects of other external causes;T75 Effects of external causes othe;;
T78;;adverse effects not elsewhere classified;T78 Adverse effects NCOP;;
T79;;Certain early complications of trauma not elsewhere classified;T79 Certain early Complicated traum of the NCOP;;
T80;;Complications resulting infusion, transfusion and therapeutic injection;T80 Complicated conseq infusion transfusion injection ther;;
T81;;Complications procedures not elsewhere classified;Complicated T81 of proced NCOP;;
T82;;Complications of prosthetic devices, implants and cardiac and vascular grafts;T82 Complicated operative prot impl enxert card and vasc;;
T83;;Complications of prosthetic devices, implants and grafts genitourinary;T83 Complicated operative prot impl enx geniturin int;;
T84;;Complications of prosthetic devices, orthopedic implants and grafts;T84 Complicated operative prot impl enx ortopedicos int;;
T85;;Complications of other prosthetic devices, implants and grafts;T85 Complicated othe prosthetic operative impl enx int;;
T86;;Failure and rejection of transplanted organs and tissues;T86 Failure and rejection organs transplanted tec;;
T87;;own complications replantation and amputation;T87 Complicated own replantation and Amput;;
T88;;Other complications of surgical and medical care, not elsewhere classified;T88 othe Complicated surg medical care NEC;;
T90;;Sequelae of head trauma;T90 Sequelae of the head traum;;
T91;;Sequelae of injuries of the neck and trunk;T91 Sequelae of traum of neck and trunk;;
T92;;sequelae of trauma of the upper limb;T92 Sequelae of super member traum;;
T93;;Sequelae of lower limb injuries;T93 Sequelae of member infer traum;;
T94;;Sequelae of injuries involving multiple body regions and unspecified;T94 Sequelae traum Wreath mult reg body and NE;;
T95;;Sequelae of burns, corrosions and frostbite;T95 Sequelae of burnt corrosion and frostbite;;
T96;;Sequelae of poisoning by drugs, medicinal and biological substances;T96 Sequelae intox drog medic subst biolog;;
T97;;Sequelae of toxic effects of substances of predominantly non-medicinal;T97 Sequelae efeit tox subst orig non-medic pred;;
T98;;Sequelae of other effects of external causes and unspecified;T98 Sequelae othe effects and external causes NE;;
V01;;Pedestrian injured in collision with pedal cycle;V01 Pedestrian collision traum veic pedal;;
V02;;Pedestrian injured in collision with motor vehicle two or three wheels;V02 Pedestrian collision traum veic motor 2 3 wheels;;
V03;;"Pedestrian injured in collision with car [car], ""pick up"" or truck";V03 Pedestrian collision traum automov pickup caminhon;;
V04;;Pedestrian injured in collision with heavy transport vehicle or bus;V04 Pedestrian traum collision veic transp heavy short bus;;
V05;;Pedestrian injured in collision with train [train] or railway vehicle;V05 Pedestrian traum train collision veic ferroviario;;
V06;;Pedestrian injured in collision with other non-motor vehicle;V06 pedestrian collision traum othe non-motoriz veic;;
V09;;Pedestrian injured in other transport accidents and traffic accidents not specified;V09 Pedestrian traum acid and othe transp NE;;
V10;;Cyclist injured in collision with pedestrian or animal;V10 Cyclist traum pedestrian collision animals;;
V11;;Cyclist injured in collision with other pedal cycle;V11 Cyclist traum collision othe veic pedal;;
V12;;Cyclist injured in collision with motor vehicle two or three wheels;V12 Cyclist traum collision veic motor 2 3 wheels;;
V13;;"Cyclist injured in collision with car, ""pick up"" or truck";V13 Cyclist traum collision automov pickup caminhon;;
V14;;Cyclist injured in collision with heavy transport vehicle or bus;V14 Ciclis traum collision veic transp heavy bus;;
V15;;Cyclist injured in collision with railway train or railway vehicle;V15 Cyclist traum train collision veic ferroviario;;
V16;;Cyclist injured in collision with other non-motor vehicle;V16 cyclist traum othe non-collision motoriz veic;;
V17;;Cyclist injured in collision with fixed or stationary object;V17 cyclist traum fixed object collision or stopped;;
V18;;Cyclist injured in noncollision transport accident;V18 cyclist traum acid transp s / Collision;;
V19;;Cyclist injured in other transport accidents and unspecified transport accidents;V19 cyclist traum acid and NE transp;;
V20;;Motorcycle rider injured in collision with pedestrian or animal;V20 biker traum pedestrian collision animals;;
V21;;Motorcyle rider injured in collision with pedal cycle;V21 biker traum collision veic pedal;;
V22;;Motorcycle rider injured in collision with motor vehicle two or three wheels;V22 Motorcycle traum collision veic motor 2 3 wheels;;
V23;;"Motorcycle rider injured in collision with car [car], ""pick up"" or truck";V23 Motorcycle traum collision automov pickup caminhon;;
V24;;Motorcycle rider injured in collision with heavy transport vehicle or bus;V24 Motorcycle traum collision veic transp heavy short bus;;
V25;;Motorcycle rider injured in collision with railway train or railway vehicle;V25 biker traum train collision veic train station;;
V26;;Motorcycle rider injured in collision with other non-motor vehicle;V26 Motorcycle traum othe non-collision motoriz veic;;
V27;;Motorcycle rider injured in collision with fixed or stationary object;V27 Motorcycle traum collision stopped stationary object;;
V28;;Motorcyclist injured in collision-free transport accident;V28 biker traum acid transp s / collision;;
V29;;Motorcyle rider injured in other transport accidents and traffic accidents not specified;V29 biker traum NE and othe acid transp;;
V30;;Occupant of a motor vehicle injured in collision with pedestrian or animal;V30 Busy tricicl mot traum pedestrian collision animals;;
V31;;Occupant injured pedicab in collision with pedal cycle;V31 Busy tricicl motoriz traum collision veic pedal;;
V32;;Occupant of a motor vehicle injured in collision with another motor vehicle two or three wheels;V32 Busy knitting mot traum al October 2 veic mot rod 3;;
V33;;"Occupant of a motor vehicle injured in collision with car, ""pick up"" or truck";V33 Busy tric mot col traum auto pickup caminhon;;
V34;;Occupant of a motor vehicle injured in collision with heavy transport vehicle or bus;V34 Busy tric mot traum col veic transp feet short bus;;
V35;;Occupant of a motor vehicle injured in collision with train [train] or railway vehicle;V35 Busy tricic mot traum train collision veic train station;;
V36;;Occupant of a motor vehicle injured in collision with other non-motor vehicle;V36 Busy tric mot traum collision othe veic n-motor;;
V37;;Occupant injured pedicab in collision with fixed or stationary object;V37 Busy tricic mot stopped traum fixed collision obj;;
V38;;Occupant of a motor vehicle injured in noncollision transport accident;Busy tricic V38 engine traum acid transp s / Collision;;
V39;;Occupant of a motor vehicle injured in other transport accidents and traffic accidents not specified;V39 Busy tricicl mot traum acid and othe transp NE;;
V40;;Car occupant [car] injured in collision with pedestrian or animal;Busy V40 automobile traum pedestrian collision animals;;
V41;;Car occupant [car] injured in collision with pedal cycle;Busy V41 automobile collision traum veic pedal;;
V42;;Car occupant [car] injured in collision with another motor vehicle two or three wheels;V42 Busy autotraum collision othe veic mot 2 3 wheels;;
V43;;"Car occupant [car] injured in collision with car [car], ""pick up"" or truck";V43 Busy automov traum col self pickup caminhon;;
