SUBCAT;CLASSIF;RESTRSEXO;CAUSAOBITO;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS
T428;;;;Intoxicação por drogas antiparkinsonianos e outros depressores centrais do tônus muscular;T42.8 Drog antipark outr depress centr tonus musc
T430;;;;Intoxicação por antidepressivos tricíclicos e tetracíclicos;T43.0 Antidepressivos triciclicos e tetraciclicos
T431;;;;Intoxicação por antidepressivos inibidores da monoaminooxidase (MAO);T43.1 Antidepressivos inibidores monoaminooxidase
T432;;;;Intoxicação por outros antidepressivos e os não especificados;T43.2 Outr antidepressivos e os NE
T433;;;;Intoxicação por antipsicóticos e neurolépticos derivados da fenotiazina;T43.3 Antipsicoticos neurolept deriv fenotiazina
T434;;;;Intoxicação por neurolépticos do tipo butirofenona e tioxanteno;T43.4 Neurolepticos tipo butirofenona e tioxanteno
T435;;;;Intoxicação por outros antipsicóticos e neurolépticos e os não especificados;T43.5 Outr antipsicoticos e neurolepticos e os NE
T436;;;;Intoxicação por psicoestimulantes que potencialmente podem provocar dependência;T43.6 Psicoestimul que potenc podem prov depend
T438;;;;Intoxicação por outras drogas psicotrópicas não classificadas em outra parte;T43.8 Outr drogas psicotropicas NCOP
T439;;;;Intoxicação por droga psicotrópica não especificada;T43.9 Droga psicotropica NE
T440;;;;Intoxicação por agentes anticolinesterase;T44.0 Agentes anticolinesterase
T441;;;;Intoxicação por outros agentes parassimpaticomiméticos [colinérgicos];T44.1 Outr agentes parassimpaticomimeticos
T442;;;;Intoxicação por bloqueadores ganglionares não classificados em outra parte;T44.2 Bloqueadores ganglionares NCOP
T443;;;;Intoxicação por outros parassimpaticolíticos [anticolinérgicos e antimuscarínicos] e espasmolíticos não classificados em outra parte;T44.3 Outr parassimpaticoliticos espasmolit NCOP
T444;;;;Intoxicação por agonistas principalmente alfa-adrenorreceptores não classificados em outra parte;T44.4 Agonistas princ alfa-adrenorreceptores NCOP
T445;;;;Intoxicação por agonistas principalmente beta-adrenorreceptores não classificados em outra parte;T44.5 Agonistas princ beta-adrenorreceptores NCOP
T446;;;;Intoxicação por antagonistas alfa-adrenorreceptores não classificados em outra parte;T44.6 Antagonistas alfa-adrenorreceptores NCOP
T447;;;;Intoxicação por antagonistas beta-adrenorreceptores não classificados em outra parte;T44.7 Antagonistas beta-adrenorreceptores NCOP
T448;;;;Intoxicação por bloqueadores neuronais adrenérgicos e de ação central, não classificados em outra parte;T44.8 Bloqueador neuron adrenerg acao central NCOP
T449;;;;Intoxicação por outras drogas que afetam principalmente o sistema nervoso autônomo e as não especificadas;T44.9 Outr drog q afet princ sist nerv autonomo NE
T450;;;;Intoxicação por drogas antialérgicas e antieméticas;T45.0 Drogas antialergicas e antiemeticas
T451;;;;Intoxicação por drogas antineoplásicas e imunomupressoras;T45.1 Drogas antineoplasicas e imunomupressoras
T452;;;;Intoxicação por vitaminas, não classificadas em outra parte;T45.2 Vitaminas NCOP
T453;;;;Intoxicação por enzimas, não classificadas em outra parte;T45.3 Enzimas NCOP
T454;;;;Intoxicação por ferro e seus compostos;T45.4 Ferro e seus compostos
T455;;;;Intoxicação por anticoagulantes;T45.5 Anticoagulantes
T456;;;;Intoxicação por drogas que afetam a fibrinólise;T45.6 Drogas que afetam a fibrinolise
T457;;;;Intoxicação por antagonistas de anticoagulantes, vitamina K e de outros fatores de coagulação;T45.7 Antagonist anticoag vitamina K outr fat coag
T458;;;;Intoxicação por outras substâncias primariamente sistêmicas e hematológicas;T45.8 Outr subst prim sistemicas e hematologicas
T459;;;;Intoxicação por substância essencialmente sistêmica e hematológica não especificada;T45.9 Subst essenc sistemica hematologica NE
T460;;;;Intoxicação por glicosídeos estimulantes do coração e substâncias de ação semelhante;T46.0 Glicosideos estim coracao subst acao semelh
T461;;;;Intoxicação por bloqueadores dos canais de cálcio;T46.1 Bloqueadores dos canais de calcio
T462;;;;Intoxicação por outras drogas antidisrítmicas não classificadas em outra parte;T46.2 Outr drogas antidisritmicas NCOP
T463;;;;Intoxicação por vasodilatadores coronarianos, não classificados em outra parte;T46.3 Vasodilatadores coronarianos NCOP
T464;;;;Intoxicação por inibidores da enzima de conversão da angiotensina;T46.4 Inibidores da enzima conversao angiotensina
T465;;;;Intoxicação por outras drogas anti-hipertensivas não classificadas em outra parte;T46.5 Outr drogas anti-hipertensivas NCOP
T466;;;;Intoxicação por drogas antihiperlipêmicas e antiarterioscleróticas;T46.6 Drog antihiperlipemicas antiarteriosclerotic
T467;;;;Intoxicação por vasodilatadores periféricos;T46.7 Vasodilatadores perifericos
T468;;;;Intoxicação por drogas antivaricosas, incluindo substâncias esclerosantes;T46.8 Drog antivaricosas incl subst esclerosantes
T469;;;;Intoxicação por outras substâncias e as não especificadas que agem essencialmente sobre o aparelho circulatório;T46.9 Outr subst e NE que agem essenc s/ap circ
T470;;;;Intoxicação por antagonistas dos receptores H2 da histamina;T47.0 Antagonistas dos receptores H2 da histamina
T471;;;;Intoxicação por outros antiácidos e drogas que inibem a secreção gástrica;T47.1 Outr antiacidos drog q inibem secr gastrica
T472;;;;Intoxicação por laxativos estimulantes;T47.2 Laxativos estimulantes
T473;;;;Intoxicação por laxativos salinos e osmóticos;T47.3 Laxativos salinos e osmoticos
T474;;;;Intoxicação por outros laxativos;T47.4 Outr laxativos
T475;;;;Intoxicação por digestivos;T47.5 Digestivos
T476;;;;Intoxicação por drogas antidiarréicas;T47.6 Drogas antidiarreicas
T477;;;;Intoxicação por eméticos;T47.7 Emeticos
T478;;;;Intoxicação por outras substâncias que atuam primariamente sobre o aparelho gastrintestinal;T47.8 Outr subst que atuam prim s/ap gastrintest
T479;;;;Intoxicação por substância não especificada que atua primariamente sobre o aparelho gastrointestinal;T47.9 Subst NE que atua prim s/ap gastrointestinal
T480;;;;Intoxicação por drogas ocitócicas;T48.0 Drogas ocitocicas
T481;;;;Intoxicação por relaxantes musculares esqueléticos [bloqueadores neuromusculares];T48.1 Relaxantes musculares esqueleticos
T482;;;;Intoxicação por outras substâncias e as não especificadas que atuam sobre os músculos;T48.2 Outr subst e as NE que atuam sobre musculos
T483;;;;Intoxicação por antitussígenos;T48.3 Antitussigenos
T484;;;;Intoxicação por expectorantes;T48.4 Expectorantes
T485;;;;Intoxicação por drogas anti-resfriado;T48.5 Drogas anti-resfriado
T486;;;;Intoxicação por antiasmáticos não classificados em outra parte;T48.6 Antiasmaticos NCOP
T487;;;;Intoxicação por outras substâncias e as não especificadas que atuam primariamente sobre o aparelho respiratório;T48.7 Outr subst e NE que atuam prim s/ap respirat
T490;;;;Intoxicação por antifúngicos, antiinfecciosos e antiinflamatórios de uso tópico, não classificados em outra parte;T49.0 Antifung antiinfec antiinflamat uso top NCOP
T491;;;;Intoxicação por antipruriginosos;T49.1 Antipruriginosos
T492;;;;Intoxicação por adstringentes e detergentes de uso local;T49.2 Adstringentes e detergentes de uso local
T493;;;;Intoxicação por emolientes, demulcentes e protetores;T49.3 Emolientes demulcentes e protetores
T494;;;;Intoxicação por ceratolíticos, ceratoplásticos e outras drogas e preparados para o tratamento dos cabelos;T49.4 Ceratol ceratopl out drog prepar trat cabelo
T495;;;;Intoxicação por drogas e preparações de uso oftalmológico;T49.5 Drogas e preparacoes de uso oftalmologico
T496;;;;Intoxicação por drogas e preparações de uso otorrinolaringológico;T49.6 Drogas preparacoes uso otorrinolaringologico
T497;;;;Intoxicação por drogas dentárias de uso tópico;T49.7 Drogas dentarias de uso topico
T498;;;;Intoxicação por outras drogas de uso tópico;T49.8 Outr drogas de uso topico
T499;;;;Intoxicação por preparado de uso tópico, não especificado;T49.9 Preparado de uso topico NE
T500;;;;Intoxicação por mineralocorticóides e seus antagonistas;T50.0 Mineralocorticoides e seus antagonistas
T501;;;;Intoxicação por diuréticos de alça;T50.1 Diureticos de alca
T502;;;;Intoxicação por inibidores da anidrase carbônica, benzotiazidas e outros diuréticos;T50.2 Inib anidrase carb benzotiazidas outr diuret
T503;;;;Intoxicação por produtos que agem sobre o equilíbrio eletrolítico, calórico e hídrico;T50.3 Prod que agem s/equil eletr caloric hidric
T504;;;;Intoxicação por drogas que agem sobre o metabolismo do ácido úrico;T50.4 Drogas que agem sobre metab acido urico
T505;;;;Intoxicação por inibidores do apetite;T50.5 Inibidores do apetite
T506;;;;Intoxicação por antídotos e quelantes não classificados em outra parte;T50.6 Antidotos e quelantes NCOP
T507;;;;Intoxicação por analépticos e antagonistas dos receptores de opiáceos;T50.7 Analepticos antagonistas receptores opiaceos
T508;;;;Intoxicação por agentes de diagnóstico;T50.8 Agentes de diagn
T509;;;;Intoxicação por outras drogas, medicamentos e substâncias biológicas e as não especificadas;T50.9 Outr drogas medicamentos subst biolog e NE
T510;;;;Efeito tóxico do etanol;T51.0 Etanol
T511;;;;Efeito tóxico do metanol;T51.1 Metanol
T512;;;;Efeito tóxico do 2-propanol;T51.2 2-propanol
T513;;;;Efeito tóxico do óleo de fusel;T51.3 Oleo de fusel
T518;;;;Efeito tóxico de outros álcoois;T51.8 Outr alcoois
T519;;;;Efeito tóxico de álcool não especificado;T51.9 Alcool NE
T520;;;;Efeito tóxico de derivados do petróleo;T52.0 Derivados do petroleo
T521;;;;Efeito tóxico do benzeno;T52.1 Benzeno
T522;;;;Efeito tóxico de homólogos do benzeno;T52.2 Homologos do benzeno
T523;;;;Efeito tóxico de glicóis;T52.3 Glicois
T524;;;;Efeito tóxico de cetonas;T52.4 Cetonas
T528;;;;Efeito tóxico de outros solventes orgânicos;T52.8 Outr solventes organicos
T529;;;;Efeito tóxico de solvente orgânico não especificado;T52.9 Solvente organico NE
T530;;;;Efeito tóxico do tetracloreto de carbono;T53.0 Tetracloreto de carbono
T531;;;;Efeito tóxico do clorofórmio;T53.1 Cloroformio
T532;;;;Efeito tóxico do tricloroetileno;T53.2 Tricloroetileno
T533;;;;Efeito tóxico do tetracloroetileno;T53.3 Tetracloroetileno
T534;;;;Efeito tóxico do diclorometano;T53.4 Diclorometano
T535;;;;Efeito tóxico do clorofluorcarbono;T53.5 Clorofluorcarbono
T536;;;;Efeito tóxico de outros derivados halogênicos de hidrocarbonetos alifáticos;T53.6 Outr deriv halog hidrocarbonetos alifaticos
T537;;;;Efeito tóxico de derivados halogênicos de hidrocarbonetos aromáticos;T53.7 Deriv halogenicos hidrocarbonetos aromaticos
T539;;;;Efeito tóxico de derivados halogênicos de hidrocarbonetos alifáticos e aromáticos não especificados;T53.9 Deriv halog hidrocarbonetos alifat aromat NE
T540;;;;Efeito tóxico do fenol e homólogos do fenol;T54.0 Fenol e homologos do fenol
T541;;;;Efeito tóxico de outros compostos corrosivos orgânicos;T54.1 Outr compostos corrosivos organicos
T542;;;;Efeito tóxico de ácidos corrosivos e substâncias semelhantes;T54.2 Acidos corrosivos e subst semelhantes
T543;;;;Efeito tóxico de bases (álcalis) cáusticas(os) e substâncias semelhantes;T54.3 Bases causticas e subst semelhantes
T549;;;;Efeito tóxico de substância corrosiva não especificada;T54.9 Subst corrosiva NE
T55;;;;Efeito tóxico de sabões e detergentes;T55   Efeito toxico de saboes e detergentes
T560;;;;Efeito tóxico do chumbo e seus compostos;T56.0 Chumbo e seus compostos
T561;;;;Efeito tóxico do mercúrio e seus compostos;T56.1 Mercurio e seus compostos
T562;;;;Efeito tóxico do cromo e seus compostos;T56.2 Cromo e seus compostos
T563;;;;Efeito tóxico do cádmio e seus compostos;T56.3 Cadmio e seus compostos
T564;;;;Efeito tóxico do cobre e seus compostos;T56.4 Cobre e seus compostos
T565;;;;Efeito tóxico do zinco e seus compostos;T56.5 Zinco e seus compostos
T566;;;;Efeito tóxico do estanho e seus compostos;T56.6 Estanho e seus compostos
T567;;;;Efeito tóxico do berilo e seus compostos;T56.7 Berilo e seus compostos
T568;;;;Efeito tóxico de outros metais;T56.8 Outr metais
T569;;;;Efeito tóxico de metal, não especificado;T56.9 Metal NE
T570;;;;Efeito tóxico do arsênico e seus compostos;T57.0 Arsenico e seus compostos
T571;;;;Efeito tóxico do fósforo e seus compostos;T57.1 Fosforo e seus compostos
T572;;;;Efeito tóxico do manganês e seus compostos;T57.2 Manganes e seus compostos
T573;;;;Efeito tóxico do cianeto de hidrogênio (ácido cianídrico);T57.3 Cianeto de hidrogenio
T578;;;;Efeito tóxico de outras substâncias inorgânicas especificadas;T57.8 Outr subst inorganicas espec
T579;;;;Efeito tóxico de substância inorgânica não especificada;T57.9 Subst inorganica NE
T58;;;;Efeito tóxico do monóxido de carbono;T58   Efeito toxico de monoxido de carbono
T590;;;;Efeito tóxico de óxidos de nitrogênio;T59.0 Oxidos de nitrogenio
T591;;;;Efeito tóxico do dióxido de enxofre;T59.1 Dioxido de enxofre
T592;;;;Efeito tóxico de formaldeído;T59.2 Formaldeido
T593;;;;Efeito tóxico do gás lacrimogêneo;T59.3 Gas lacrimogenio
T594;;;;Efeito tóxico do cloro gasoso;T59.4 Cloro gasoso
T595;;;;Efeito tóxico do fluoreto gasoso e ácido fluorídrico;T59.5 Fluoreto gasoso e acido fluoridrico
T596;;;;Efeito tóxico do ácido sulfídrico;T59.6 Acido sulfidrico
T597;;;;Efeito tóxico do dióxido de carbono;T59.7 Dioxido de carbono
T598;;;;Efeito tóxico de outros gases, fumaças e vapores especificados;T59.8 Outr gases fumacas e vapores espec
T599;;;;Efeito tóxico de gases, fumaças e vapores não especificados;T59.9 Gases fumacas e vapores NE
T600;;;;Efeito tóxico de inseticidas organofosforados e carbamatos;T60.0 Inseticidas organofosforados e carbamatos
T601;;;;Efeito tóxico de inseticidas halogenados;T60.1 Inseticidas halogenados
T602;;;;Efeito tóxico de outros inseticidas;T60.2 Outr inseticidas
T603;;;;Efeito tóxico de herbicidas e fungicidas;T60.3 Herbicidas e fungicidas
T604;;;;Efeito tóxico de rodenticidas;T60.4 Rodenticidas
T608;;;;Efeito tóxico de outros pesticidas;T60.8 Outr pesticidas
T609;;;;Efeito tóxico de pesticida não especificado;T60.9 Pesticida NE
T610;;;;Intoxicação pelo peixe ciguatera;T61.0 Intox p/peixe ciguatera
T611;;;;Intoxicação por peixes escombrídeos;T61.1 Intox p/peixes escombrideos
T612;;;;Outras intoxicações por peixes e mariscos;T61.2 Outr intox p/peixes e mariscos
T618;;;;Efeito tóxico de outros frutos do mar;T61.8 Efeito toxico de outr frutos do mar
T619;;;;Efeito tóxico de frutos do mar não especificados;T61.9 Efeito toxico de frutos do mar NE
T620;;;;Efeito tóxico de ingestão de cogumelos;T62.0 Ingestao de cogumelos
T621;;;;Efeito tóxico de ingestão de frutos;T62.1 Ingestao de frutos
T622;;;;Efeito tóxico de ingestão de outras (partes de) plantas;T62.2 Ingestao de outr plantas
T628;;;;Efeito tóxico de outras substâncias nocivas ingeridas como alimento;T62.8 Outr subst nocivas ingeridas como alimento
T629;;;;Efeito tóxico de substâncias nocivas ingeridas como alimento, não especificadas;T62.9 Subst nocivas ingeridas como alimento NE
T630;;;;Efeito tóxico do veneno de serpente;T63.0 Veneno de serpente
T631;;;;Efeito tóxico do veneno de outros répteis;T63.1 Veneno de outr repteis
T632;;;;Efeito tóxico do veneno de escorpião;T63.2 Veneno de escorpiao
T633;;;;Efeito tóxico do veneno de aranha;T63.3 Veneno de aranha
T634;;;;Efeito tóxico do veneno de outros artrópodes;T63.4 Veneno de outr artropodes
